motif	tf	dbd_family
NFIX_MA0671.1	NFIX	NAN
NHLH1_MA0048.2	NHLH1	NAN
NKX2-3_MA0672.1	NKX2-3	NAN
NKX2-8_MA0673.1	NKX2-8	NAN
NKX6-1_MA0674.1	NKX6-1	NAN
NKX6-2_MA0675.1	NKX6-2	NAN
Nr2e1_MA0676.1	Nr2e1	NAN
Nr2f6_MA0677.1	Nr2f6	NAN
OLIG2_MA0678.1	OLIG2	NAN
ONECUT1_MA0679.1	ONECUT1	NAN
PAX4_MA0068.2	PAX4	NAN
PAX7_MA0680.1	PAX7	NAN
Phox2b_MA0681.1	Phox2b	NAN
Pitx1_MA0682.1	Pitx1	NAN
POU4F2_MA0683.1	POU4F2	NAN
Prrx2_MA0075.2	Prrx2	NAN
RUNX3_MA0684.1	RUNX3	NAN
Rxra_MA0512.2	Rxra	NAN
SP4_MA0685.1	SP4	NAN
SPDEF_MA0686.1	SPDEF	NAN
SPI1_MA0080.4	SPI1	NAN
SPIC_MA0687.1	SPIC	NAN
SRF_MA0083.3	SRF	NAN
T_MA0009.2	T	NAN
TBX2_MA0688.1	TBX2	NAN
TBX20_MA0689.1	TBX20	NAN
TBX21_MA0690.1	TBX21	NAN
TEAD1_MA0090.2	TEAD1	NAN
TFAP4_MA0691.1	TFAP4	NAN
TFCP2_MA0145.3	TFCP2	NAN
TFEB_MA0692.1	TFEB	NAN
ZBTB7B_MA0694.1	ZBTB7B	NAN
ZBTB7C_MA0695.1	ZBTB7C	NAN
ZIC1_MA0696.1	ZIC1	NAN
ZIC3_MA0697.1	ZIC3	NAN
ZBTB18_MA0698.1	ZBTB18	NAN
LBX2_MA0699.1	LBX2	NAN
LHX2_MA0700.1	LHX2	NAN
LHX9_MA0701.1	LHX9	NAN
LMX1A_MA0702.1	LMX1A	NAN
LMX1B_MA0703.1	LMX1B	NAN
Lhx4_MA0704.1	Lhx4	NAN
Lhx8_MA0705.1	Lhx8	NAN
MEOX2_MA0706.1	MEOX2	NAN
MNX1_MA0707.1	MNX1	NAN
MSX2_MA0708.1	MSX2	NAN
Msx3_MA0709.1	Msx3	NAN
NKX3-2_MA0122.2	NKX3-2	NAN
NOTO_MA0710.1	NOTO	NAN
Nkx3-1_MA0124.2	Nkx3-1	NAN
OTX1_MA0711.1	OTX1	NAN
OTX2_MA0712.1	OTX2	NAN
PDX1_MA0132.2	PDX1	NAN
PHOX2A_MA0713.1	PHOX2A	NAN
PITX3_MA0714.1	PITX3	NAN
PROP1_MA0715.1	PROP1	NAN
PRRX1_MA0716.1	PRRX1	NAN
RAX2_MA0717.1	RAX2	NAN
RAX_MA0718.1	RAX	NAN
RHOXF1_MA0719.1	RHOXF1	NAN
Shox2_MA0720.1	Shox2	NAN
UNCX_MA0721.1	UNCX	NAN
VAX1_MA0722.1	VAX1	NAN
VAX2_MA0723.1	VAX2	NAN
VENTX_MA0724.1	VENTX	NAN
VSX1_MA0725.1	VSX1	NAN
VSX2_MA0726.1	VSX2	NAN
ESR1_MA0112.3	ESR1	NAN
ESRRB_MA0141.3	ESRRB	NAN
Esrra_MA0592.2	Esrra	NAN
Hnf4a_MA0114.3	Hnf4a	NAN
NR2F1_MA0017.2	NR2F1	NAN
NR3C1_MA0113.3	NR3C1	NAN
NR3C2_MA0727.1	NR3C2	NAN
Nr2f6_MA0728.1	Nr2f6	NAN
RARA_MA0729.1	RARA	NAN
RARA_MA0730.1	RARA	NAN
BCL6B_MA0731.1	BCL6B	NAN
EGR2_MA0472.2	EGR2	NAN
EGR3_MA0732.1	EGR3	NAN
EGR4_MA0733.1	EGR4	NAN
GLI2_MA0734.1	GLI2	NAN
GLIS1_MA0735.1	GLIS1	NAN
GLIS2_MA0736.1	GLIS2	NAN
GLIS3_MA0737.1	GLIS3	NAN
HIC2_MA0738.1	HIC2	NAN
Hic1_MA0739.1	Hic1	NAN
KLF14_MA0740.1	KLF14	NAN
KLF16_MA0741.1	KLF16	NAN
Klf12_MA0742.1	Klf12	NAN
SCRT1_MA0743.1	SCRT1	NAN
SCRT2_MA0744.1	SCRT2	NAN
SNAI2_MA0745.1	SNAI2	NAN
SP3_MA0746.1	SP3	NAN
SP8_MA0747.1	SP8	NAN
YY2_MA0748.1	YY2	NAN
ZBED1_MA0749.1	ZBED1	NAN
ZIC4_MA0751.1	ZIC4	NAN
ZNF143_MA0088.2	ZNF143	NAN
ZNF410_MA0752.1	ZNF410	NAN
ZNF740_MA0753.1	ZNF740	NAN
CUX1_MA0754.1	CUX1	NAN
CUX2_MA0755.1	CUX2	NAN
ONECUT2_MA0756.1	ONECUT2	NAN
ONECUT3_MA0757.1	ONECUT3	NAN
E2F3_MA0469.2	E2F3	NAN
E2F7_MA0758.1	E2F7	NAN
ELF1_MA0473.2	ELF1	NAN
ELK3_MA0759.1	ELK3	NAN
ERF_MA0760.1	ERF	NAN
ERG_MA0474.2	ERG	NAN
ETS1_MA0098.3	ETS1	NAN
ETV1_MA0761.1	ETV1	NAN
ETV2_MA0762.1	ETV2	NAN
ETV3_MA0763.1	ETV3	NAN
ETV4_MA0764.1	ETV4	NAN
ETV5_MA0765.1	ETV5	NAN
FEV_MA0156.2	FEV	NAN
GATA5_MA0766.1	GATA5	NAN
GCM2_MA0767.1	GCM2	NAN
LEF1_MA0768.1	LEF1	NAN
Tcf7_MA0769.1	Tcf7	NAN
HSF2_MA0770.1	HSF2	NAN
HSF4_MA0771.1	HSF4	NAN
IRF7_MA0772.1	IRF7	NAN
MEF2A_MA0052.3	MEF2A	NAN
MEF2D_MA0773.1	MEF2D	NAN
MEIS1_MA0498.2	MEIS1	NAN
MEIS2_MA0774.1	MEIS2	NAN
MEIS3_MA0775.1	MEIS3	NAN
MYBL1_MA0776.1	MYBL1	NAN
MYBL2_MA0777.1	MYBL2	NAN
NFKB1_MA0105.4	NFKB1	NAN
NFKB2_MA0778.1	NFKB2	NAN
PAX1_MA0779.1	PAX1	NAN
PAX3_MA0780.1	PAX3	NAN
PAX9_MA0781.1	PAX9	NAN
PKNOX1_MA0782.1	PKNOX1	NAN
PKNOX2_MA0783.1	PKNOX2	NAN
POU1F1_MA0784.1	POU1F1	NAN
POU2F1_MA0785.1	POU2F1	NAN
POU3F1_MA0786.1	POU3F1	NAN
POU3F2_MA0787.1	POU3F2	NAN
POU3F3_MA0788.1	POU3F3	NAN
POU3F4_MA0789.1	POU3F4	NAN
POU4F1_MA0790.1	POU4F1	NAN
POU4F3_MA0791.1	POU4F3	NAN
POU5F1B_MA0792.1	POU5F1B	NAN
POU6F2_MA0793.1	POU6F2	NAN
PROX1_MA0794.1	PROX1	NAN
RFX2_MA0600.2	RFX2	NAN
SMAD3_MA0795.1	SMAD3	NAN
TGIF1_MA0796.1	TGIF1	NAN
TGIF2_MA0797.1	TGIF2	NAN
RFX3_MA0798.1	RFX3	NAN
RFX4_MA0799.1	RFX4	NAN
RFX5_MA0510.2	RFX5	NAN
RUNX2_MA0511.2	RUNX2	NAN
EOMES_MA0800.1	EOMES	NAN
MGA_MA0801.1	MGA	NAN
TBR1_MA0802.1	TBR1	NAN
